ID,Age,Education,Marital_Status,Income,Children,Kidhome,Teenhome,Family_Size,Has_Children,Recency,R_Score,R_Value,F_Score,F_Value,M_Score,M_Value,RFM_Score,RFM_Segment,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,Total_Purchases,Avg_Order_Value,Purchase_Frequency_Rate,NumWebVisitsMonth,Campaign_Acceptance_Rate,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Complain,Has_Complained,Engagement_Score,Wine_Ratio,Meat_Ratio,Product_Diversity,Premium_Product_Ratio,Web_Purchase_Ratio,Store_Purchase_Ratio,CLV_Estimate,Customer_Value_Score,Customer_Segment,Is_High_Spender,Is_Active,Is_Campaign_Responder,Is_Web_Shopper,Is_Deal_Seeker,Customer_Tenure_Days,Dt_Customer,Stability_Score,PCA1,PCA2,PCA1_3D,PCA2_3D,PCA3_3D,Cluster,Customer_Since,Enrollment_Year,Enrollment_Month,Enrollment_Quarter,Enrollment_Month_Name,Age_Group,Income_Group,Spending_Group,Tenure_Years,Tenure_Group,Cluster_ID,Cluster_Name,Value_Tier,Engagement_Level,Recency_Category,Purchase_Frequency,Preferred_Channel,Top_Product_Category
5524,67,Graduation,Single,58138.0,0,0,0,1,0,58,3,58,5,25,5,1617,13,355,635,88,546,172,88,88,1617,8,10,4,3,25,62.19230769230769,0.0376506024096385,7,0.1666666666666666,0,0,0,0,0,1,0,0,28.4,0.3924598269468479,0.3374536464771323,6,0.8362175525339925,0.3076923076923077,0.1538461538461538,2824.2123287671234,83.33333333333334,Loyal Customers,1,1,1,0,0,663,2012-09-04,0.6,6626.182785288358,2271.169194471405,6626.182785288358,2271.169194471405,309.59701582299374,Loyal Customers,2012-09-04,2012,9,3,September,65+,$50-70K,High,1.8,1-2 Years,Loyal Customers,Segment Loyal Customers,Platinum,,Last Quarter,Regular,Catalog,Wines
2174,70,Graduation,Single,46344.0,2,1,1,3,1,38,4,38,1,6,1,27,6,411,11,1,6,2,1,6,27,1,1,2,2,6,3.857142857142857,0.0526315789473684,5,0.0,0,0,0,0,0,0,0,0,7.0,0.3928571428571428,0.2142857142857142,6,0.6785714285714286,0.1428571428571428,0.2857142857142857,23.142857142857142,25.0,New Customers,0,1,0,0,0,113,2014-03-08,1.0,-5322.326523438642,-906.1204971616309,-5322.326523438642,-906.1204971616309,-13.022631895124562,New Customers,2014-03-08,2014,3,1,March,65+,$30-50K,Very Low,0.3,<1 Year,New Customers,Segment New Customers,Bronze,High,Last Quarter,Occasional,Store,Wines
4141,59,Graduation,Together,71613.0,0,0,0,2,0,26,4,26,4,21,4,776,12,444,426,49,127,111,21,42,776,8,2,10,1,21,35.27272727272727,0.0670926517571885,4,0.0,0,0,0,0,0,0,0,0,21.8,0.5482625482625483,0.1634491634491634,6,0.8545688545688546,0.3636363636363636,0.4545454545454545,740.7272727272727,75.0,Champions,0,1,0,0,0,312,2013-08-21,0.6,19981.79111965052,-727.9385516418008,19981.79111965052,-727.9385516418008,12.966641033801636,Champions,2013-08-21,2013,8,3,August,56-65,$70-100K,Medium,0.9,<1 Year,Champions,Segment Champions,Gold,,Last Month,Regular,Store,Wines
6182,40,Graduation,Together,26646.0,1,1,0,3,1,26,4,26,2,8,1,53,7,421,11,4,20,10,3,5,53,2,0,4,2,8,5.888888888888889,0.0571428571428571,6,0.0,0,0,0,0,0,0,0,0,9.2,0.2037037037037037,0.3703703703703703,6,0.7592592592592593,0.2222222222222222,0.4444444444444444,47.11111111111112,33.33333333333333,Potential Loyalists,0,1,0,0,0,139,2014-02-10,1.0,-24997.12392024313,35.204192424845814,-24997.12392024313,35.204192424845814,-183.418190294114,Potential Loyalists,2014-02-10,2014,2,1,February,36-45,<$30K,Very Low,0.4,<1 Year,Potential Loyalists,Segment Potential Loyalists,Bronze,High,Last Month,Occasional,Store,Meat
5324,43,PhD,Married,58293.0,1,1,0,3,1,94,1,94,4,19,3,422,8,143,173,43,118,46,27,15,422,5,3,6,5,19,21.1,0.1172839506172839,5,0.0,0,0,0,0,0,0,0,0,20.0,0.408983451536643,0.2789598108747045,6,0.7966903073286052,0.25,0.3,400.9,41.66666666666667,At Risk,0,0,0,0,0,161,2014-01-19,0.9,6646.3429424161,-764.3994369949896,6646.3429424161,-764.3994369949896,-49.55905169572111,At Risk,2014-01-19,2014,1,1,January,36-45,$50-70K,Low,0.4,<1 Year,At Risk,Segment At Risk,Silver,,Last 6 Months,Regular,Store,Wines
7446,57,Master,Together,62513.0,1,0,1,3,1,16,5,16,4,22,4,716,13,544,520,42,98,0,42,14,716,6,4,10,2,22,31.13043478260869,0.0748299319727891,6,0.0,0,0,0,0,0,0,0,0,23.2,0.7252440725244073,0.1366806136680613,5,0.8619246861924686,0.2608695652173913,0.4347826086956521,684.8695652173913,83.33333333333334,Champions,0,1,0,0,0,293,2013-09-09,0.9,10887.855539502229,-394.4277658620549,10887.855539502229,-394.4277658620549,-71.4197677665523,Champions,2013-09-09,2013,9,3,September,56-65,$50-70K,Medium,0.8,<1 Year,Champions,Segment Champions,Gold,,Last Month,Regular,Store,Wines
965,53,Graduation,Divorced,55635.0,1,0,1,2,1,34,4,34,4,21,3,590,11,443,235,65,164,50,49,27,590,7,3,7,4,21,26.818181818181817,0.0353535353535353,6,0.0,0,0,0,0,0,0,0,0,22.2,0.3976311336717428,0.2774957698815566,6,0.7597292724196277,0.3181818181818182,0.3181818181818182,914.9775840597758,66.66666666666666,Loyal Customers,0,1,0,0,0,593,2012-11-13,0.9,4014.837375412433,-50.67672640680894,4014.837375412433,-50.67672640680894,304.5414683024479,Loyal Customers,2012-11-13,2012,11,4,November,46-55,$50-70K,Medium,1.6,1-2 Years,Loyal Customers,Segment Loyal Customers,Gold,,Last Quarter,Regular,Web,Wines
6177,39,PhD,Married,33454.0,1,1,0,3,1,32,4,32,2,10,2,169,8,422,76,10,56,3,1,23,169,4,0,4,2,10,15.363636363636363,0.0239234449760765,8,0.0,0,0,0,0,0,0,0,0,11.6,0.4470588235294118,0.3294117647058823,6,0.7941176470588235,0.3636363636363636,0.3636363636363636,175.52428393524283,41.66666666666667,Potential Loyalists,0,1,0,0,0,417,2013-05-08,1.0,-18186.25290763585,-22.342142897892018,-18186.25290763585,-22.342142897892018,21.51641057104229,Potential Loyalists,2013-05-08,2013,5,2,May,36-45,$30-50K,Low,1.1,1-2 Years,Potential Loyalists,Segment Potential Loyalists,Silver,,Last Quarter,Occasional,Web,Wines
4855,50,PhD,Together,30351.0,1,1,0,3,1,19,5,19,1,6,1,46,7,511,14,0,24,3,3,2,46,3,0,2,1,6,6.571428571428571,0.0154241645244215,9,0.1666666666666666,0,0,0,0,0,1,0,0,9.8,0.2978723404255319,0.5106382978723404,5,0.8723404255319149,0.4285714285714285,0.2857142857142857,41.913111545988265,33.33333333333333,New Customers,0,1,1,0,0,388,2013-06-06,1.0,-21296.59591063674,-110.0632010366437,-21296.59591063674,-110.0632010366437,23.122663207409573,New Customers,2013-06-06,2013,6,2,June,46-55,$30-50K,Very Low,1.1,1-2 Years,New Customers,Segment New Customers,Bronze,High,Last Month,Occasional,Web,Meat
5899,74,PhD,Together,5648.0,2,1,1,4,1,68,2,68,1,2,1,49,4,211,28,0,6,1,1,13,49,1,0,0,1,2,16.333333333333332,0.018348623853211,20,0.1666666666666666,0,0,1,0,0,0,0,0,8.0,0.56,0.12,5,0.7,0.3333333333333333,0.0,32.666666666666664,8.333333333333332,About to Sleep,0,1,1,0,1,108,2014-03-13,1.0,-45973.07543024622,973.7778610948136,-45973.07543024622,973.7778610948136,-396.7663726578074,About to Sleep,2014-03-13,2014,3,1,March,65+,<$30K,Very Low,0.3,<1 Year,About to Sleep,Segment About to Sleep,Bronze,High,Last Quarter,Rare,Web,Wines
